Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
10,45,9.0,1.0,0,1.0,1.0,1.0,0.0,0.0016901000000046906,1
20,90,9.0,0.47368421052631576,0.1111111111111111,0,0.37777777777777777,0.6947368421052632,0.1560493827160493,0.044501900000000205,12
30,135,9.0,0.3103448275862069,0.04,0.9037037037037038,0.9037037037037037,0.9402298850574713,0.5702880658436214,0.021656700000001194,3
40,180,9.0,0.23076923076923078,0.05734767025089606,0,0.36666666666666664,0.8461538461538461,0.24783950617283954,0.24151969999999778,24
50,225,9.0,0.1836734693877551,0.04,0,0.5066666666666667,0.8922448979591837,0.3751604938271604,0.25302500000000094,23
60,270,9.0,0.15254237288135594,0.1864406779661017,0,0.36666666666666664,0.8932203389830509,0.2806378600823045,0.4037099999999967,35
70,315,9.0,0.13043478260869565,0.15942028985507245,0,0.37142857142857144,0.9097308488612836,0.2979793398841019,0.44901649999999904,39
80,360,9.0,0.11392405063291139,0.13924050632911392,0,0.29444444444444445,0.914873417721519,0.24219907407407412,0.8376999999999981,51
90,405,9.0,0.10112359550561797,0.12359550561797752,0,0.40987654320987654,0.9343320848938826,0.3501661332114011,1.050660899999997,49
100,450,9.0,0.09090909090909091,0.1111111111111111,0,0.5444444444444444,0.9517171717171717,0.4754765432098766,1.1209374000000025,41
110,495,9.0,0.08256880733944955,0.10091743119266056,0,0.4484848484848485,0.9479566305254379,0.39418426691154074,1.760696699999997,57
120,540,9.0,0.07563025210084033,0.023023023023023025,0,0.387037037037037,0.9488795518207283,0.34383573388202976,2.7766617999999994,69
130,585,9.0,0.06976744186046512,0.08527131782945736,0,0.49401709401709404,0.9594514013118665,0.44557381839433075,2.4083986999999993,61
140,630,9.0,0.06474820143884892,0.07913669064748201,0,0.5079365079365079,0.9630010277492291,0.4604069035021423,2.6958944999999943,63
150,675,9.0,0.06040268456375839,0.0738255033557047,0,0.5140740740740741,0.966979865771812,0.47132729766803794,3.2873730999999964,67
160,720,9.0,0.05660377358490566,0.06918238993710692,0,0.5958333333333333,0.972562893081761,0.5506558641975313,3.0869299000000012,58
170,765,9.0,0.05325443786982249,0.016563146997929608,0,0.5032679738562091,0.9702053602506091,0.46561664317143,4.378609099999991,78
180,810,9.0,0.05027932960893855,0.015594541910331383,0,0.5617283950617284,0.9741775294847921,0.5228044505410765,4.262034499999999,71
190,855,9.0,0.047619047619047616,0.0582010582010582,0,0.4654970760233918,0.9714842662211083,0.4338360521186011,5.255152700000011,96
200,900,9.0,0.04522613065326633,0.013961605584642234,0,0.5088888888888888,0.974070351758794,0.47630925925925915,7.247171199999997,89
210,945,9.0,0.0430622009569378,0.013819789939192924,0,0.5354497354497354,0.9771701982228298,0.5037860082304525,6.304373000000012,87
220,990,9.0,0.0410958904109589,0.01263823064770932,0,0.503030303030303,0.9767123287671233,0.4739399040914183,9.479107499999998,101
230,1035,9.0,0.039301310043668124,0.012066365007541479,0,0.5777777777777777,0.980140497436871,0.5466489299633588,8.447641399999995,86
240,1080,9.0,0.03765690376569038,0.012025012025012025,0,0.4222222222222222,0.9761854951185495,0.39868012688614574,12.861616699999999,127
250,1125,9.0,0.03614457831325301,0.010603964960811434,0,0.5226666666666666,0.9804658634538153,0.4961240493827153,10.559021900000005,109
260,1170,9.0,0.03474903474903475,0.03474903474903475,0,0.4205128205128205,0.9778437778437779,0.39916429249762553,15.569005099999998,142
270,1215,9.0,0.03345724907063197,0.03345724907063197,0,0.4477366255144033,0.9795125980999587,0.4260800352249833,15.584730900000011,138
280,1260,9.0,0.03225806451612903,0.006150061500615006,0,0.4087301587301587,0.9789042498719918,0.38909108087679434,17.762880200000012,154
290,1305,9.0,0.031141868512110725,0.005931198102016607,0,0.43984674329501916,0.9806705643717933,0.42008338104255744,18.5672797,150
300,1350,9.0,0.030100334448160536,0.030100334448160536,0,0.5148148148148148,0.9831884057971014,0.49323017832647353,18.37096550000001,132
310,1395,9.0,0.02912621359223301,0.005537098560354375,0,0.47240143369175625,0.9826913038939347,0.45268406109890624,21.5902332,151
320,1440,9.0,0.02821316614420063,0.0053590568060021436,0,0.5020833333333333,0.9838557993730408,0.4818528163580245,23.465370999999976,144
330,1485,9.0,0.02735562310030395,0.005192107995846314,0,0.44646464646464645,0.9830892511743575,0.42865875364191924,28.579228900000032,170
340,1530,9.0,0.02654867256637168,0.005035246727089627,0,0.42810457516339867,0.9833073052229742,0.4114594813960441,30.416645399999993,182
350,1575,9.0,0.025787965616045846,0.004887585532746823,0,0.49523809523809526,0.9851330331559558,0.47707170571932517,30.48367669999999,163
360,1620,9.0,0.025069637883008356,0.004748338081671415,0,0.4580246913580247,0.9847879913339523,0.4414311842706902,32.4515993,183
370,1665,9.0,0.024390243902439025,0.0046168051708217915,0,0.4906906906906907,0.9858053175126346,0.47365221076932756,35.25409569999999,174
380,1710,9.0,0.023746701846965697,0.004492362982929021,0,0.47017543859649125,0.985765865851965,0.45404038849560574,40.39442559999998,186
390,1755,9.0,0.02313624678663239,0.004082822980460776,0,0.4564102564102564,0.9858677740425812,0.44117320476294836,43.94558490000003,196
400,1800,9.0,0.022556390977443608,0.004546746234725774,0,0.4533333333333333,0.986140350877193,0.4384632716049386,50.46276979999993,200
410,1845,9.0,0.022004889975550123,0.022004889975550123,0,0.5018970189701897,0.9875007454231022,0.486207945006281,46.21347849999995,185
420,1890,9.0,0.021479713603818614,0.021479713603818614,0,0.4444444444444444,0.9866234799409024,0.4303185801069401,59.526455899999974,213
430,1935,9.0,0.02097902097902098,0.00422275006598047,0,0.46511627906976744,0.9874451130265084,0.4510162984329192,59.12289509999994,209
440,1980,9.0,0.02050113895216401,0.02050113895216401,0,0.42727272727272725,0.98703665355146,0.41432787470666205,65.24825390000001,237
450,2025,9.0,0.0200445434298441,0.0200445434298441,0,0.465679012345679,0.9878940856223707,0.45219277549154285,67.16312140000002,222
460,2070,9.0,0.0196078431372549,0.0196078431372549,0,0.4797101449275362,0.9882447665056361,0.46612803099255534,66.238563,220
470,2115,9.0,0.019189765458422176,0.004820438659918052,0,0.46713947990543736,0.9884861407249467,0.45419881629026065,69.70712409999999,229
480,2160,9.0,0.018789144050104383,0.018789144050104383,0,0.4564814814814815,0.9885960334029228,0.4439759087791485,80.08003389999999,240
490,2205,9.0,0.018404907975460124,0.00462000462000462,0,0.454875283446712,0.9887149952005342,0.44264396007836015,80.40834239999981,250
500,2250,9.0,0.018036072144288578,0.018036072144288578,0,0.47244444444444444,0.9891703406813628,0.46006390123456936,83.48489670000004,244
